time_ms,cpu_usage,workers_active
20740,100.00,8
20751,100.00,8
20762,100.00,8
20773,100.00,8
20785,100.00,8
20798,100.00,8
20810,100.00,8
20821,100.00,8
20832,100.00,8
20844,100.00,8
20856,100.00,8
20869,100.00,8
20881,100.00,8
20894,100.00,8
20906,100.00,8
20919,100.00,8
20931,100.00,8
20944,100.00,8
20956,100.00,8
20969,100.00,8
20981,100.00,8
20994,100.00,8
21007,100.00,8
21019,100.00,8
21031,100.00,8
21041,100.00,8
21054,100.00,8
21065,100.00,8
21077,100.00,8
21090,100.00,8
21102,100.00,8
21115,100.00,8
21127,100.00,8
21140,100.00,8
21152,100.00,8
21165,100.00,8
21177,100.00,8
21190,100.00,8
21202,100.00,8
21215,100.00,8
21227,100.00,8
21240,100.00,8
21252,100.00,8
21265,100.00,8
21277,100.00,8
21290,100.00,8
21302,100.00,8
21313,100.00,8
21326,100.00,8
21336,100.00,8
21348,100.00,8
21361,100.00,8
21373,100.00,8
21386,100.00,8
21398,100.00,8
21411,100.00,8
21423,100.00,8
21436,100.00,8
21448,100.00,8
21461,100.00,8
21473,100.00,8
21484,100.00,8
21497,100.00,8
21510,100.00,8
21522,100.00,8
21535,100.00,8
21547,100.00,8
21560,100.00,8
21572,100.00,8
21585,100.00,8
21598,100.00,8
21610,100.00,8
21622,100.00,8
21635,100.00,8
21647,100.00,8
21660,100.00,8
21672,100.00,8
21685,100.00,8
21697,100.00,8
21708,100.00,8
21720,100.00,8
21732,100.00,8
21743,100.00,8
21756,100.00,8
21766,100.00,8
21779,100.00,8
21791,100.00,8
21804,100.00,8
21816,100.00,8
21828,100.00,8
21840,100.00,8
21851,100.00,8
21861,100.00,8
21874,100.00,8
21885,100.00,8
21897,100.00,8
21909,100.00,8
21920,100.00,8
21931,100.00,8
21944,100.00,8
21956,100.00,8
21968,100.00,8
21980,100.00,8
21991,100.00,8
22004,100.00,8
22016,100.00,8
22029,100.00,8
22039,100.00,8
22052,100.00,8
22064,100.00,8
22077,100.00,8
22089,100.00,8
22102,100.00,8
22113,100.00,7
22125,100.00,8
22138,100.00,8
22151,100.00,8
22163,100.00,8
22176,100.00,8
22188,100.00,8
22201,100.00,8
22213,100.00,8
22225,100.00,8
22237,100.00,8
22250,100.00,8
22263,100.00,8
22275,100.00,8
22286,100.00,8
